ndar id,ndar name,ndar missing value,mapping,ndar range,coins id,default value,coins name,coins missing value,function,args,coins range
,,,,,358,,pilot-apev_058t-1,,,,-1::1
,,,,,359,,hgrd1_tv1-apev_058t-1,,,,-1::1
,,,,,360,,twinv-apra_058t-1,,,,0;1
,,,,,361,,pilot-apra_058t-1,,,,0;1
,,,,,362,,hgrd1_tv1-apra_058t-1,,,,0;1
,,,,,363,,twinv-apev_059t-1,,,,-1::1
,,,,,364,,pilot-apev_059t-1,,,,-1::1
,,,,,365,,hgrd1_tv1-apev_059t-1,,,,-1::1
,,,,,366,,twinv-apra_059t-1,,,,0;1
,,,,,367,,pilot-apra_059t-1,,,,0;1
,,,,,368,,hgrd1_tv1-apra_059t-1,,,,0;1
,,,,,369,,twinv-apev_060t-1,,,,-1::1
,,,,,370,,pilot-apev_060t-1,,,,-1::1
,,,,,371,,hgrd1_tv1-apev_060t-1,,,,-1::1
,,,,,372,,twinv-apra_060t-1,,,,0;1
,,,,,373,,pilot-apra_060t-1,,,,0;1
,,,,,374,,hgrd1_tv1-apra_060t-1,,,,0;1
